Id,TaskNo,ResponseId,Difficulty,Query,"Rewrite time, ms",Error
226,534,10,Medium,"SELECT 
    a1.player_id, 
    a1.event_date, 
    SUM(a2.games_played) OVER (PARTITION BY a1.player_id ORDER BY a1.event_date) AS games_played_so_far 
FROM 
    schema_534.activity a1
ORDER BY 
    a1.player_id, 
    a1.event_date",9193,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""a2""
  Position: 56"
248,534,81,Medium,"SELECT 
    a.player_id, 
    a.event_date, 
    SUM(b.games_played) OVER (PARTITION BY a.player_id ORDER BY a.event_date) AS games_played_so_far
FROM 
    schema_534.activity a
ORDER BY 
    a.player_id, 
    a.event_date;",9290,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""b""
  Position: 54"
249,534,82,Medium,"SELECT 
    a.player_id, 
    a.event_date, 
    SUM(b.games_played) OVER (PARTITION BY a.player_id ORDER BY a.event_date) AS games_played_so_far
FROM 
    schema_534.activity a
ORDER BY 
    a.player_id, 
    a.event_date",6960,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""b""
  Position: 54"
251,534,90,Medium,"SELECT 
    a.player_id, 
    a.event_date, 
    SUM(b.games_played) OVER (PARTITION BY a.player_id ORDER BY a.event_date) AS games_played_so_far
FROM 
    schema_534.activity a",8354,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""b""
  Position: 54
"
255,534,95,Medium,"SELECT 
    a1.player_id, 
    a1.event_date, 
    SUM(a2.games_played) OVER (PARTITION BY a1.player_id ORDER BY a1.event_date) AS games_played_so_far
FROM 
    schema_534.activity a1
ORDER BY 
    a1.player_id, 
    a1.event_date",7522,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""a2""
  Position: 56"
262,534,116,Medium,"SELECT 
    b.player_id, 
    b.event_date, 
    SUM(a.games_played) OVER (PARTITION BY b.player_id ORDER BY b.event_date) AS games_played_so_far
FROM 
    schema_534.activity b
ORDER BY 
    b.player_id, 
    b.event_date",6505,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""a""
  Position: 54
"
714,1149,45,Medium,"SELECT viewer_id AS id
FROM schema_1149.views
GROUP BY viewer_id, view_date
HAVING COUNT(DISTINCT article_id) >= 2
GROUP BY viewer_id
ORDER BY viewer_id;",6873,"SQL Error [42601]: ERROR: syntax error at or near ""GROUP""
  Position: 116"
725,1149,111,Medium,"SELECT viewer_id AS id
FROM schema_1149.views
GROUP BY viewer_id, view_date
HAVING COUNT(DISTINCT article_id) > 1
GROUP BY viewer_id;",5860,"SQL Error [42601]: ERROR: syntax error at or near ""GROUP""
  Position: 115"
797,1308,11,Medium,"SELECT 
    a.gender, 
    a.day, 
    SUM(b.score_points) OVER (PARTITION BY a.gender ORDER BY a.day) AS total 
FROM 
    schema_1308.scores a 
ORDER BY 
    a.gender ASC, 
    a.day ASC",9371,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""b""
  Position: 44
"
822,1308,121,Medium,"SELECT 
    a.gender, 
    a.day, 
    SUM(b.score_points) OVER (PARTITION BY a.gender ORDER BY a.day) AS total
FROM 
    schema_1308.scores a
ORDER BY 
    a.gender, 
    a.day",8430,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""b""
  Position: 44 "
