Id,TaskNo,ResponseId,Difficulty,Optimized query,avg_rows_optimized,Initial Query,avg_rows_initial,avg_rows_diff_deepseek_initial,Queries equal with order on test dataset,Queries equil without order on test dataset,ORDER BY clause in initial query,ORDER BY clause in optimazed query,Leetcode equivalence status,Final equivalence status,Status,Comment
1,175,3,Easy,"SELECT firstname, lastname, address.city, address.state FROM schema_175.person LEFT JOIN schema_175.address USING (personid);",136887,"select firstname, lastname, address.city, address.state from schema_175.person left outer join schema_175.address on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
2,175,5,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person LEFT JOIN schema_175.address USING (personid)",136887,"select firstname, lastname, city, state from schema_175.person left outer join schema_175.address on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
3,175,8,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person p LEFT JOIN schema_175.address a ON p.personid = a.personid",136887,"select firstname, lastname, city, state from schema_175.person as p left outer join schema_175.address as a on p.personid = a.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
4,175,11,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person LEFT JOIN schema_175.address USING (personid)",136887,"select firstname, lastname, city, state from schema_175.person left outer join schema_175.address on address.personid = person.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
5,175,25,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person t1 LEFT JOIN schema_175.address t2 ON t1.personid = t2.personid",136887,"select firstname, lastname, city, state from schema_175.person as t1 left outer join schema_175.address as t2 on t1.personid = t2.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
6,175,26,Easy,"SELECT a.firstname, a.lastname, b.city, b.state 
FROM schema_175.person a 
LEFT JOIN schema_175.address b ON a.personid = b.personid;",136887,"select firstname, lastname, city, state from schema_175.person as a left outer join schema_175.address as b on a.personid = b.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
7,175,47,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a USING (personid);",136887,"select p.firstname, p.lastname, a.city, a.state from schema_175.person as p left outer join schema_175.address as a on p.personid = a.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
8,175,49,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a ON p.personid = a.personid",136887,"select p.firstname, p.lastname, a.city, a.state from schema_175.address as a right outer join schema_175.person as p on a.personid = p.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
9,175,56,Easy,"SELECT person.firstname, person.lastname, address.city, address.state 
FROM schema_175.person 
LEFT OUTER JOIN schema_175.address ON person.personid = address.personid",136887,"select person.firstname, person.lastname, address.city, address.state from schema_175.person left outer join schema_175.address on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
10,175,57,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a ON p.personid = a.personid",136887,"select person.firstname as firstname, person.lastname as lastname, address.city as city, address.state as state from schema_175.person left outer join schema_175.address on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
