TaskNo,ResponseId,Query,Error,,,,,,,,,,,,,,,,,,,,,
178,2,"select a.score, count(distinct b.score) as rank from schema_178.scores as a join schema_178.scores as b on a.score <= b.score group by a.id order by a.score desc","column ""a.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,111,"select a.score, count(b.score) as rank from schema_178.scores as a left outer join (select distinct score from schema_178.scores) as b on a.score <= b.score group by a.id order by a.score desc","column ""a.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,116,"select curr.score, count(distinct lower.score) as rank from schema_178.scores as curr join schema_178.scores as lower on curr.score <= lower.score group by curr.id order by curr.score desc","column ""curr.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,118,"select s.score as score, count(distinct r.score) as rank from schema_178.scores as s join schema_178.scores as r on s.score <= r.score group by s.id order by s.score desc","column ""s.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,121,"select s.score, count(distinct t.score) as rank from schema_178.scores as s join schema_178.scores as t on s.score <= t.score group by s.id order by s.score desc","column ""s.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,148,"select s1.score, count(distinct s2.score) as rank from schema_178.scores as s1 join schema_178.scores as s2 on s1.score <= s2.score group by s1.id order by s1.score desc","column ""s1.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,150,"select s1.score, count(distinct s2.score) as rank from schema_178.scores as s1 join schema_178.scores as s2 on s2.score >= s1.score group by s1.id order by s1.score desc","column ""s1.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,220,"select s1.score, count(distinct s2.score) as rank from schema_178.scores as s1 left outer join schema_178.scores as s2 on s1.score <= s2.score group by s1.id order by s1.score desc","column ""s1.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,323,"select s.score, count(a.score) as rank from schema_178.scores as s left outer join (select distinct score from schema_178.scores as s1) as a on s.score <= a.score group by s.id order by s.score desc","column ""s.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,325,"select s.score, count(distinct s2.score) as rank from schema_178.scores as s join schema_178.scores as s2 on s.score <= s2.score group by s.id order by s.score desc","column ""s.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
178,424,"select scores.score, count(temp.benchmark) as rank from schema_178.scores left outer join (select distinct score as benchmark from schema_178.scores) as temp on scores.score <= temp.benchmark group by scores.id order by scores.score desc","column ""scores.score"" must appear in the GROUP BY clause or be used in an aggregate function",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
