Id,TaskNo,ResponseId,Difficulty,Query,"Rewrite time, ms",Error
167,184,18,Medium,"SELECT ""department0"".""name1"", ""t0"".""name"", ""t0"".""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
                (SELECT ""departmentid0"", MAX(""salary0"") AS ""salary""
                FROM schema_184.""employee"" AS ""employee0"" (""id0"", ""name0"", ""salary0"", ""departmentid0"")
                GROUP BY ""departmentid0"") AS ""t""
        WHERE ""employee"".""departmentid"" = ""t"".""departmentid0"" AND ""employee"".""salary"" = ""t"".""salary"") AS ""t0"",
    schema_184.""department"" AS ""department0"" (""id1"", ""name1"")
WHERE ""t0"".""departmentid"" = ""department0"".""id1"";",73082,"SQL Error [42702]: ERROR: column reference ""salary"" is ambiguous
  Position: 44"
173,184,78,Medium,"SELECT ""department0"".""name0"", ""employee"".""name"", ""employee"".""salary""
FROM schema_184.""employee""
    INNER JOIN schema_184.""department"" AS ""department0"" (""id0"", ""name0"") ON ""employee"".""departmentid"" = ""department0"".""id0""
WHERE ""employee"".""salary"" = (MAX(""employee"".""salary"") OVER (PARTITION BY ""employee"".""departmentid"" RANGE BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING))
GROUP BY ();",73320,"SQL Error [42P20]: ERROR: window functions are not allowed in WHERE
  Position: 250"
180,184,152,Medium,"SELECT ""name0"", ""name"", ""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
            schema_184.""department"" AS ""department0"" (""id0"", ""name0"")
        WHERE ""employee"".""departmentid"" = ""department0"".""id0"" AND EXISTS (SELECT 1
                FROM (SELECT MAX(""salary0"") AS ""salary"", ""departmentid0""
                        FROM schema_184.""employee"" AS ""employee0"" (""id1"", ""name1"", ""salary0"", ""departmentid0"")
                        GROUP BY ""departmentid0"") AS ""t1""
                WHERE ""t"".""departmentid"" = ""t1"".""departmentid0"" AND ""t"".""salary"" = ""t1"".""salary"")) AS ""t"";",85555,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""t""
  Position: 502"
187,184,179,Medium,"SELECT ""department0"".""name0"", ""employee"".""name"", ""employee"".""salary""
FROM schema_184.""employee""
    INNER JOIN schema_184.""department"" AS ""department0"" (""id0"", ""name0"") ON ""employee"".""departmentid"" = ""department0"".""id0""
WHERE ""employee"".""salary"" = (MAX(""employee"".""salary"") OVER (PARTITION BY ""employee"".""departmentid"" RANGE BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING))
GROUP BY ();",63540,"SQL Error [42P20]: ERROR: window functions are not allowed in WHERE
  Position: 250"
195,184,295,Medium,"SELECT ""department0"".""name1"", ""t1"".""name"", ""t1"".""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
                (SELECT MAX(""salary0"") AS ""salary"", ""departmentid0""
                FROM schema_184.""employee"" AS ""employee0"" (""id0"", ""name0"", ""salary0"", ""departmentid0"")
                GROUP BY ""departmentid0"") AS ""t0""
        WHERE ""employee"".""salary"" = ""t0"".""salary"" AND ""employee"".""departmentid"" = ""t0"".""departmentid0"") AS ""t1"",
    schema_184.""department"" AS ""department0"" (""id1"", ""name1"")
WHERE ""department0"".""id1"" = ""t1"".""departmentid"";",94421,"SQL Error [42702]: ERROR: column reference ""salary"" is ambiguous
  Position: 44"
203,184,355,Medium,"SELECT ""name0"", ""name"", ""salary""
FROM (SELECT ""t"".""name"", ""t"".""salary"", ""t"".""departmentid"", ""t0"".""name0""
        FROM (SELECT ""name"", ""salary"", ""departmentid""
                FROM schema_184.""employee"") AS ""t"",
                (SELECT *
                FROM schema_184.""department"" AS ""department"" (""id0"", ""name0"")) AS ""t0""
        WHERE ""t"".""departmentid"" = ""t0"".""id0"" AND EXISTS (SELECT 1
                FROM (SELECT *
                        FROM (SELECT MAX(""salary0"") AS ""salary"", ""departmentid0""
                                FROM schema_184.""employee"" AS ""employee0"" (""id1"", ""name1"", ""salary0"", ""departmentid0"")
                                GROUP BY ""departmentid0"") AS ""t4""
                        WHERE ""salary"" IS NOT NULL AND ""departmentid0"" IS NOT NULL) AS ""t6""
                WHERE ""t2"".""salary"" = ""t6"".""salary"" AND ""t2"".""departmentid"" = ""t6"".""departmentid0"")) AS ""t2"";",125182,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""t2""
  Position: 803
"
208,184,371,Medium,"SELECT ""name0"", ""name"", ""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
            schema_184.""department"" AS ""department0"" (""id0"", ""name0"")
        WHERE ""employee"".""departmentid"" = ""department0"".""id0"" AND EXISTS (SELECT 1
                FROM (SELECT MAX(""salary0"") AS ""salary"", ""departmentid0""
                        FROM schema_184.""employee"" AS ""employee0"" (""id1"", ""name1"", ""salary0"", ""departmentid0"")
                        GROUP BY ""departmentid0"") AS ""t1""
                WHERE ""t"".""salary"" = ""t1"".""salary"" AND ""t"".""departmentid"" = ""t1"".""departmentid0"")) AS ""t"";",103246,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""t""
  Position: 502
"
212,184,428,Medium,"SELECT ""name0"", ""name"", ""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
            schema_184.""department"" AS ""department0"" (""id0"", ""name0"")
        WHERE ""employee"".""departmentid"" = ""department0"".""id0"" AND EXISTS (SELECT 1
                FROM (SELECT MAX(""salary0"") AS ""salary"", ""departmentid0""
                        FROM schema_184.""employee"" AS ""employee0"" (""id1"", ""name1"", ""salary0"", ""departmentid0"")
                        GROUP BY ""departmentid0"") AS ""t1""
                WHERE ""t"".""salary"" = ""t1"".""salary"" AND ""t"".""departmentid"" = ""t1"".""departmentid0"")) AS ""t"";",99947,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""t""
  Position: 502"
213,184,430,Medium,"SELECT ""name0"", ""name"", ""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
            schema_184.""department"" AS ""department0"" (""id0"", ""name0"")
        WHERE ""employee"".""departmentid"" = ""department0"".""id0"" AND EXISTS (SELECT 1
                FROM (SELECT MAX(""salary0"") AS ""highest_salary"", ""departmentid0""
                        FROM schema_184.""employee"" AS ""employee0"" (""id1"", ""name1"", ""salary0"", ""departmentid0"")
                        GROUP BY ""departmentid0"") AS ""t1""
                WHERE ""t"".""salary"" = ""t1"".""highest_salary"" AND ""t"".""departmentid"" = ""t1"".""departmentid0"")) AS ""t"";",95470,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""t""
  Position: 510"
214,184,436,Medium,"SELECT ""name0"", ""name"", ""salary""
FROM (SELECT *
        FROM schema_184.""employee"",
            schema_184.""department"" AS ""department0"" (""id0"", ""name0"")
        WHERE ""department0"".""id0"" = ""employee"".""departmentid"" AND EXISTS (SELECT 1
                FROM (SELECT MAX(""salary0"") AS ""max_salary"", ""departmentid0""
                        FROM schema_184.""employee"" AS ""employee0"" (""id1"", ""name1"", ""salary0"", ""departmentid0"")
                        GROUP BY ""departmentid0"") AS ""t1""
                WHERE ""t"".""salary"" = ""t1"".""max_salary"" AND ""t"".""departmentid"" = ""t1"".""departmentid0"")) AS ""t"";",75580,"SQL Error [42P01]: ERROR: missing FROM-clause entry for table ""t""
  Position: 506"
