pid,query_number,id,cost_SC,cost_input,cost_SC_experiments,cost_input_experiments,cost_SC_difference,cost_input_difference,time_SC,time_input,time_SC_experiment,time_input_experiment,time _SC_difference,time_input_difference,SC_better_time_sc_data,SC_better_time_experiment_data,performance_difference
181,280,181-280,6740.5,31960.49,6740.5,31447.05,0,513.44,64.1695,584.633,80.2648,146.1756,-16.0953,438.4574,1,1,significant
184,77,184-77,14997.44,15612.7,12920.87,14214.41,2076.57,1398.29,89.361,108.952,91.3616,103.2096,-2.0006,5.7424,1,1,significant
184,78,184-78,14997.44,15612.7,12920.87,14214.41,2076.57,1398.29,88.2805,107.628,91.3326,104.7918,-3.0521,2.8362,1,1,significant
184,179,184-179,14997.44,15612.7,12920.87,14214.41,2076.57,1398.29,90.1015,109.489,89.9856,105.3588,0.1159,4.1302,1,1,significant
184,366,184-366,4308.61,4585.48,4363.96,4640.84,-55.35,-55.36,49.0495,63.1175,66.2558,77.6972,-17.2063,-14.5797,1,1,significant
1141,27,1141-27,2721.19,7048.49,2657.65,5883.45,63.54,1165.04,57.132,44.2615,32.0608,33.579,25.0712,10.6825,0,1,not significant
1141,45,1141-45,2721.19,7048.49,2657.65,5883.45,63.54,1165.04,57.0505,44.098,36.8934,32.793,20.1571,11.305,0,0,not significant
1141,59,1141-59,2721.19,7048.49,2657.65,5883.45,63.54,1165.04,56.298,43.4555,31.8792,32.8892,24.4188,10.5663,0,1,not significant
1141,108,1141-108,2721.19,7048.49,2657.65,5883.45,63.54,1165.04,57.9765,44.034,30.9438,31.762,27.0327,12.272,0,1,not significant
1141,144,1141-144,2721.19,7048.49,2657.65,5883.45,63.54,1165.04,58.0515,43.889,36.9412,33.8356,21.1103,10.0534,0,0,not significant
1141,147,1141-147,2721.19,7048.49,2657.65,5883.45,63.54,1165.04,54.368,44.5505,32.9556,32.5648,21.4124,11.9857,0,0,not significant
1729,1,1729-1,1992.96,12097.82,1974.62,4880.29,18.34,7217.53,32.99,161.9255,29.3874,60.3662,3.6026,101.5593,1,1,significant
1729,2,1729-2,2096.56,2337.35,2039.12,2182.15,57.44,155.2,35.2385,34.4045,28.0596,25.7092,7.1789,8.6953,0,0,not significant
1729,5,1729-5,1992.96,10547.78,1974.62,3311.91,18.34,7235.87,33.148,126.0435,25.6414,26.1744,7.5066,99.8691,1,1,not significant
1729,6,1729-6,1992.96,60725.08,1974.62,69828.68,18.34,-9103.6,33.1805,909.4115,28.4444,710.8906,4.7361,198.5209,1,1,significant
1729,17,1729-17,1992.96,10547.78,1974.62,3311.91,18.34,7235.87,33.146,125.171,26.4472,24.6504,6.6988,100.5206,1,0,not significant
1729,21,1729-21,2096.56,10547.78,2039.12,3311.91,57.44,7235.87,36.112,129.903,28.5764,25.2926,7.5356,104.6104,1,0,not significant
1729,50,1729-50,2096.56,10547.78,2039.12,3311.91,57.44,7235.87,37.002,130.239,27.9894,26.537,9.0126,103.702,1,0,not significant
