Id,TaskNo,ResponseId,Difficulty,Optimized query,avg_rows_optimized,Initial Query,avg_rows_initial,avg_rows_diff_optimazed_initial,Queries equal with order on test dataset,Queries equil without order on test dataset,ORDER BY clause in initial query,ORDER BY clause in optimazed query,Leetcode equivalence status,Final equivalence status,Status,Comment
96,181,280,Easy,select t_employee_0.name as employee from schema_181.employee as e1 inner join schema_181.employee as t_employee_0 on e1.salary < t_employee_0.salary where t_employee_0.managerid = e1.id,49842,"select name as employee from schema_181.employee join (select distinct e1.id as manid, e1.salary as mansalary from schema_181.employee as e1 join schema_181.employee as e2 on e1.id = e2.managerid) as manager on employee.managerid = manager.manid where employee.salary > manager.mansalary",49842,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
122,182,1,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 2 <= count(t_person_0.email),29537,select distinct email from schema_182.person group by email having count(email) >= 2,29537,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
123,182,2,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.id),29537,select distinct email from schema_182.person group by email having count(id) > 1,29537,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
124,182,20,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,select distinct email from schema_182.person group by email having count(email) > 1,29537,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
125,182,24,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,"select email from (select email, count(email) as num from schema_182.person group by email) as statistic where num > 1",29537,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
128,182,29,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,"select email from (select count(email) as c, email from schema_182.person group by email) as dupe where c > 1",29537,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
129,182,30,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,"select email from (select email, count(email) as number from schema_182.person group by email) as number_emails where number > 1",29537,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
130,182,31,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,"select email from (select email, count(email) as emailcount from schema_182.person group by email) as countemail where countemail.emailcount > 1",29537,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
131,182,32,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,"select email from (select email, count(email) as count from schema_182.person group by email) as e where e.count > 1",29537,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
132,182,36,Easy,select t_person_0.email as email from schema_182.person as t_person_0 group by t_person_0.email having 1 < count(t_person_0.email),29537,"select email from (select email, count(email) as occurences from schema_182.person group by email) as sub where occurences > 1",29537,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
